Date,level
2023-09-01,161.80090946100222
2023-09-05,178.6725532721348
2023-09-06,177.54871108860738
2023-09-07,163.33563080114232
2023-09-08,151.26363838648652
2023-09-11,159.39649669284623
2023-09-12,154.08384440741182
2023-09-13,155.3136315237387
2023-09-14,152.95626449843647
2023-09-15,146.80581484585008
2023-09-18,138.21229684358545
2023-09-19,138.5877342165012
2023-09-20,134.83153580158697
2023-09-21,129.1479803026835
2023-09-22,124.75985833112726
2023-09-25,123.32388728298196
2023-09-26,118.9076549409906
2023-09-27,123.92586840099335
2023-09-28,123.29613965228205
2023-09-29,125.71838367787427
2023-10-02,123.7336025513351
2023-10-03,118.56768500081043
2023-10-04,117.42643398546457
2023-10-05,116.67632626287265
2023-10-06,125.0948057964639
2023-10-09,120.66602001624165
2023-10-10,129.36153380525357
2023-10-11,126.58146569769819
2023-10-12,125.2525581366341
2023-10-13,120.29900423966194
2023-10-16,122.78180495831774
2023-10-17,121.26273263549874
2023-10-18,115.29759066262378
2023-10-19,108.90995252621465
2023-10-20,102.58739501372669
2023-10-23,101.19981116829338
2023-10-24,103.74475831655255
2023-10-25,94.76852949311947
2023-10-26,91.01323007278255
2023-10-27,88.23728198302761
2023-10-30,86.47613451964776
2023-10-31,90.9415587605097
2023-11-01,94.49792917724882
2023-11-02,103.64539904509446
2023-11-03,102.71938925409978
2023-11-06,98.55926409554587
2023-11-07,100.98664659784124
2023-11-08,102.92012441208378
2023-11-09,96.88708830190527
2023-11-10,92.83131477824602
2023-11-13,100.19635495273272
2023-11-14,113.27128501511214
2023-11-15,111.10275906132205
2023-11-16,105.18167665275439
2023-11-17,105.05405340393143
2023-11-20,106.15290312639745
2023-11-21,101.73800124858452
2023-11-22,101.55198509864036
2023-11-24,105.77503242420536
2023-11-27,104.81378715464982
2023-11-28,103.5642588465175
2023-11-29,105.22873259861495
2023-11-30,103.50535406133838
2023-12-01,113.50666431166421
2023-12-04,114.87036200365348
2023-12-05,109.7489296258654
2023-12-06,108.42590127379694
2023-12-07,106.70468060207041
2023-12-08,110.32069107213114
2023-12-11,106.82529663565975
2023-12-12,102.98718146477106
2023-12-13,104.73540958364475
2023-12-14,110.84949750932059
2023-12-15,111.99874561245487
2023-12-18,111.30713640552395
2023-12-19,111.93662856539336
2023-12-20,107.26543559953198
2023-12-21,107.37325785214611
2023-12-22,106.14273058679086
2023-12-26,110.24591127348558
2023-12-27,107.71633805792345
2023-12-28,108.00572938222975
2023-12-29,103.30329428851701
2024-01-02,100.0
2024-01-03,99.04659050668536
2024-01-04,100.74346945073742
2024-01-05,96.6382802675686
2024-01-08,104.49486480690528
2024-01-09,104.98587197928555
2024-01-10,102.98294436784046
2024-01-11,97.96468739282238
2024-01-12,96.66723139154755
2024-01-16,93.27175230697272
2024-01-17,93.17627062862583
2024-01-18,93.86987897114325
2024-01-19,94.54523538954241
2024-01-22,101.50003945024797
2024-01-23,102.96106277024973
2024-01-24,99.67730708483153
2024-01-25,96.79291332420405
2024-01-26,100.15748272652836
2024-01-29,101.430358772627
2024-01-30,104.48818498446609
2024-01-31,101.41170228497936
2024-02-01,103.52565360170519
2024-02-02,103.56496835085447
2024-02-05,98.57489415369739
2024-02-06,102.00235262478876
2024-02-07,100.90884813438619
2024-02-08,104.551637748072
2024-02-09,110.79908711601169
2024-02-12,126.9150585541484
2024-02-13,120.026303245541
2024-02-14,135.39773442397563
2024-02-15,143.22245270263312
2024-02-16,141.45829095707182
2024-02-20,145.60256963869077
2024-02-21,134.7133424525183
2024-02-22,140.7037978049156
2024-02-23,136.08714846464883
2024-02-26,149.4464763204999
2024-02-27,148.20522613522115
2024-02-28,158.5520183331401
2024-02-29,151.08446476803672
2024-03-01,149.24456053204875
2024-03-04,139.17338733764694
2024-03-05,134.93534232446166
2024-03-06,143.29735065093877
2024-03-07,161.73266039925429
2024-03-08,161.06747598970628
2024-03-11,156.305340026759
2024-03-12,177.96303273636957
2024-03-13,173.37003076194466
2024-03-14,165.94431337146662
2024-03-15,165.65854052749108
2024-03-18,176.62585026638772
2024-03-19,161.63516232647274
2024-03-20,161.42212440402878
2024-03-21,155.44104194370897
2024-03-22,152.52696077915897
